"image.files","Perimeter","Area","Width.Mid.height","Maximum.Width","Height.Mid.width","Maximum.Height","Curved.Height","X"
"XC51_1.tif - 2","39,9558","69,1766","8,9916","9,5123","7,493","11,4554","13,4873",NA
"XC51_2.tif - 1","44,8297","93,4774","10,2616","10,9601","7,8994","12,6746","15,0182",NA
"XC51_2.tif - 2","43,2924","86,6305","8,9662","9,8679","9,8806","13,9065","15,1672",NA
"XC53.tif - 1","44,0652","96,6566","10,3505","11,0998","9,2075","13,3477","12,8866",NA
"XC53.tif - 2","41,9591","90,9332","9,9695","11,1125","8,9408","12,7254","12,8482",NA
"XC54.tif - 1","34,7981","61,3384","7,5438","8,763","9,5885","10,8204","12,6842",NA
"XC54.tif - 2","43,6719","92,6576","9,7282","10,9601","10,1219","13,1318","14,7178",NA
"XC54.tif - 3","39,6893","72,3073","8,0772","9,8044","9,2837","12,4587","13,8896",NA
"XC54.tif - 4","41,2475","80,3056","9,2837","10,3124","10,2235","12,2555","14,1179",NA
"XC57.tif - 1","38,1358","75,5723","8,4836","9,652","8,9662","12,0904","13,6877",NA
"XC57.tif - 2","43,2059","91,6505","9,4107","10,2235","10,0203","14,1097","16,0385",NA
"XC57.tif - 3","37,0739","63,8931","7,6454","8,8392","9,398","12,0396","11,9108",NA
"XC58_1.tif - 1","40,7141","72,3813","8,5852","9,4996","11,8491","13,1318","15,0978",NA
"XC58_1.tif - 2","44,7655","102,7871","11,0871","11,8999","8,8773","13,0556","14,5466",NA
"XC58_2.tif - 1","45,2365","97,9001","10,6045","11,049","9,2837","13,335","15,2831",NA
"XC58_2.tif - 2","39,4992","77,0813","9,7155","10,1346","7,6835","11,3157","13,1162",NA
"XC59.tif - 1","26,9621","36,2433","6,1087","6,4008","6,6167","8,4455","9,6287",NA
"XC59.tif - 2","34,5412","58,9023","7,8994","8,4201","8,0645","10,2235","11,7409",NA
"XC59.tif - 3","39,3076","76,0336","9,017","9,4361","9,1694","12,0142","13,5428",NA
"XC59.tif - 4","33,3123","52,7233","7,1882","7,7978","7,9629","10,3378","12,0704",NA
"XC60_1.tif - 1","38,8904","82,2485","10,16","10,8839","8,89","11,7856","13,0255",NA
"XC60_1.tif - 2","41,0473","81,639","9,8552","10,287","8,6868","11,8491","12,3171",NA
"XC64_1.tif - 1","39,7791","82,1356","9,3472","10,0203","9,5123","12,319","14,3607",NA
"XC64_2.tif - 1","37,4598","71,1957","9,4234","10,2743","9,0932","10,8077","12,4107",NA
"XC64_3.tif - 1","33,1036","55,1357","7,7343","8,509","7,112","10,0965","11,9041",NA
"XC64_4.tif - 1","39,1318","78,9387","9,652","9,9949","9,7155","11,7602","13,4083",NA
"XC65.tif - 1","37,7822","77,3016","9,6266","10,287","8,8392","10,7569","12,5355",NA
"XC65.tif - 2","31,3485","47,5501","6,9977","8,2042","7,0358","9,5885","10,9242",NA
"XC65.tif - 3","36,6851","68,1286","9,1567","9,4615","7,874","10,3632","10,8562",NA
"XC66_1.tif - 1","44,1057","94,6153","9,8298","11,0363","9,9949","14,1351","13,7616",NA
"XC66_1.tif - 2","45,8227","107,7296","11,5189","11,6967","10,1727","14,1605","14,835",NA
"XC66_2.tif - 1","44,1383","92,9295","10,7061","11,2268","9,4107","12,8524","14,2691",NA
"XC67_1.tif - 1","51,5461","131,5768","12,446","13,0175","10,6934","14,6939","15,2315",NA
"XC67_1.tif - 2","44,4894","106,6433","11,5697","12,6365","10,4013","12,5476","14,5525",NA
"XC67_2.tif - 1","50,9382","138,28","12,8397","13,4239","12,1285","14,9098","16,9118",NA
"XC67_2.tif - 2","41,7866","90,0082","10,2235","11,2141","9,525","11,8999","14,3703",NA
"XC69_1.tif - 1","36,4203","71,1102","9,3599","9,5885","8,8265","10,7315","12,1809",NA
"XC69_2.tif - 1","48,2896","117,6511","12,5222","13,6525","9,8552","14,4526","16,5327",NA
