T_637	Madres	134	153	250	218	251	358	93	101	99	173	142	155	224	255	116	304
T_637	Madres	144	155	-9	-9	266	-9	-9	-9	101	198	-9	161	228	-9	119	-9
T_637	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
T_637	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
T_638	Madres	132	141	244	216	251	356	93	101	97	183	142	159	218	239	119	302
T_638	Madres	-9	148	248	218	262	358	101	105	99	186	-9	161	224	249	148	304
T_638	Madres	-9	155	-9	222	266	-9	-9	116	101	196	-9	163	226	-9	-9	306
T_638	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	230	-9	-9	-9
T_639	Madres	126	141	244	218	262	356	93	101	97	181	142	159	224	239	119	306
T_639	Madres	132	146	248	220	268	358	99	-9	107	186	-9	163	228	251	122	308
T_639	Madres	-9	155	-9	-9	270	-9	101	-9	109	190	-9	167	230	-9	125	318
T_639	Madres	-9	-9	-9	-9	286	-9	-9	-9	-9	198	-9	175	-9	-9	-9	-9
T_640	Madres	126	141	244	218	262	356	93	101	97	175	142	159	224	239	113	302
T_640	Madres	132	151	246	-9	266	-9	99	103	99	194	-9	163	232	245	119	306
T_640	Madres	-9	155	248	-9	268	-9	103	-9	-9	-9	-9	-9	234	-9	125	318
T_640	Madres	-9	-9	256	-9	272	-9	-9	-9	-9	-9	-9	-9	-9	-9	136	-9
T_641	Madres	128	159	242	218	251	358	93	101	99	177	142	159	230	255	119	304
T_641	Madres	144	171	246	222	-9	-9	103	-9	101	186	-9	163	232	-9	136	308
T_641	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
T_641	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
T_642	Madres	139	148	242	218	251	356	103	101	101	196	142	155	226	255	108	304
T_642	Madres	-9	155	250	222	264	358	-9	-9	107	198	-9	163	230	-9	119	-9
T_642	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
T_642	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
T_643	Madres	126	141	246	216	262	358	93	101	97	173	142	161	224	239	110	302
T_643	Madres	128	144	248	218	264	-9	99	116	99	181	-9	163	226	257	119	306
T_643	Madres	132	155	-9	220	266	-9	107	-9	103	192	-9	-9	230	-9	122	316
T_643	Madres	-9	-9	-9	-9	272	-9	-9	-9	-9	-9	-9	-9	232	-9	125	-9
T_644	Madres	135	146	246	218	264	356	93	101	101	186	142	159	228	249	110	304
T_644	Madres	139	155	-9	232	-9	-9	103	103	107	196	-9	161	232	261	119	-9
T_644	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
T_644	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
T_645	Madres	135	141	244	218	270	356	103	101	99	184	142	161	224	247	119	304
T_645	Madres	139	-9	252	222	274	360	-9	108	107	196	-9	-9	238	255	125	-9
T_645	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
T_645	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
T_646	Madres	128	141	244	218	262	356	93	101	97	186	142	161	218	239	119	302
T_646	Madres	-9	146	248	-9	266	358	99	-9	99	192	-9	167	224	247	122	306
T_646	Madres	-9	155	256	-9	268	360	103	-9	103	198	-9	169	232	265	-9	-9
T_646	Madres	-9	-9	-9	-9	272	-9	-9	-9	-9	-9	-9	173	-9	-9	-9	-9
T_647	Madres	132	141	244	216	255	356	93	101	99	175	142	159	224	243	119	302
T_647	Madres	134	146	246	218	262	358	99	-9	103	196	-9	161	226	245	122	306
T_647	Madres	139	151	248	220	264	-9	111	-9	-9	198	-9	163	232	251	150	314
T_647	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	316
T_648	Madres	162	141	246	218	262	356	93	101	97	179	142	159	224	239	119	306
T_648	Madres	164	146	248	-9	270	-9	99	105	99	183	-9	163	230	247	122	308
T_648	Madres	166	155	250	-9	272	-9	101	-9	101	-9	-9	177	232	251	133	-9
T_648	Madres	168	-9	-9	-9	280	-9	103	-9	-9	-9	-9	-9	242	-9	-9	-9
T_649	Madres	128	141	244	218	262	356	93	101	97	175	142	159	226	239	119	302
T_649	Madres	132	-9	246	-9	282	-9	99	-9	101	192	-9	163	228	243	122	304
T_649	Madres	166	-9	248	-9	-9	-9	101	-9	-9	194	-9	173	230	247	125	306
T_649	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	196	-9	-9	232	265	-9	-9
T_650	Madres	128	141	244	218	272	356	93	101	97	184	142	159	224	239	113	302
T_650	Madres	130	144	246	-9	-9	358	99	-9	101	186	-9	161	228	243	133	306
